ID_Intervento,Azienda,Città,Macchinario,Tipo_Macchinario,Tipo_Intervento,Priorità,Data_Intervento,Tecnico,Durata_Ore,Stato,Costo_Euro,Età_Macchinario_Anni,Ore_Utilizzo_Totali,Mesi_Senza_Intervento,Interventi_Ultimi_12_Mesi,Esito_Intervento
INT-0027,Samp SpA,Bologna,Quadro MCC Schneider,Quadro Elettrico,Manutenzione Preventiva,Media,2022-11-18,Monti,5.8,Completato,2757.12,2.6,5622,8,0,Completato
INT-0028,IMA Industries,Bologna,Pompa KSB Etanorm,Pompa,Guasto Urgente,Alta,2022-12-05,Ansaloni,7.9,Completato,1884.41,0.5,1062,17,3,Completato
INT-0029,IMA Industries,Bologna,Pannello PLC Siemens S7,Quadro Elettrico,Guasto Urgente,Bassa,2022-06-28,Monti,7.8,Completato,898.58,5.1,7627,4,3,Completato
INT-0030,Samp SpA,Bologna,Compressore Boge C15,Compressore,Guasto Urgente,Media,2024-03-23,Ferretti,10.9,Completato,2245.19,9.5,17163,10,7,Completato
INT-0031,Coesia SpA,Bologna,Compressore Boge C15,Compressore,Manutenzione Preventiva,Alta,2022-09-08,Ferretti,11.8,Completato,1742.67,1.6,3443,7,4,Completato
INT-0032,Termomeccanica Srl,Parma,Pompa Flygt Serie 3,Pompa,Manutenzione Preventiva,Media,2024-05-31,Bernardini,9.5,Parziale,369.92,8.8,13939,12,3,Parziale
INT-0033,Rollon SpA,Milano,Chiller Trane CGAM,Refrigerazione,Manutenzione Preventiva,Media,2023-07-27,Ansaloni,7.5,Completato,2664.11,1.1,1594,3,7,Completato
INT-0034,Pneumax Srl,Bergamo,Giunto elastico Flender,Trasmissione,Guasto Urgente,Alta,2024-02-24,Ansaloni,9.6,Completato,1398.1,10.8,20991,15,7,Completato
INT-0035,Datalogic SpA,Bologna,Quadro Automazione Allen Bradley,Quadro Elettrico,Manutenzione Preventiva,Media,2023-12-25,Monti,3.4,Completato,1208.44,3.2,4914,17,1,Completato
INT-0036,Tecnoinox Srl,Reggio Emilia,Giunto elastico Flender,Trasmissione,Ispezione Periodica,Media,2022-01-07,Ansaloni,11.4,Completato,892.23,10.1,16053,18,0,Completato
INT-0037,Elcon Srl,Piacenza,Pompa KSB Etanorm,Pompa,Manutenzione Correttiva,Bassa,2023-09-30,Ansaloni,6.9,Parziale,2546.85,5.5,6759,10,6,Parziale
INT-0038,Carpigiani SpA,Bologna,Compressore Ingersoll R55,Compressore,Guasto Urgente,Alta,2022-10-12,Ferretti,9.3,Parziale,2342.83,2.6,3796,10,3,Parziale
INT-0039,Aeroquip Srl,Ferrara,Compressore Ingersoll R55,Compressore,Manutenzione Correttiva,Bassa,2022-01-21,Ferretti,7.8,Completato,728.84,12.0,18599,2,0,Completato
INT-0040,Bonfiglioli SpA,Bologna,Compressore Kaeser SK25,Compressore,Ispezione Periodica,Alta,2022-11-16,Ferretti,7.3,Completato,2549.83,9.3,12720,3,2,Completato
INT-0041,Elcon Srl,Piacenza,Pompa KSB Etanorm,Pompa,Manutenzione Preventiva,Media,2023-06-03,Ansaloni,8.1,Completato,114.41,1.7,3353,3,0,Completato
INT-0042,Rollon SpA,Milano,Pompa Centrifuga Grundfos NB,Pompa,Manutenzione Preventiva,Media,2023-09-23,Ansaloni,9.9,Completato,1543.83,7.8,15823,4,6,Completato
INT-0043,Bonfiglioli SpA,Bologna,Pompa Flygt Serie 3,Pompa,Ispezione Periodica,Alta,2023-09-17,Monti,8.4,Completato,995.0,4.2,6071,2,4,Completato
INT-0044,Bonfiglioli SpA,Bologna,Quadro BT ABB,Quadro Elettrico,Manutenzione Preventiva,Bassa,2024-01-08,Monti,5.5,Completato,1590.08,9.7,14941,8,8,Completato
INT-0045,Datalogic SpA,Bologna,Pompa Flygt Serie 3,Pompa,Manutenzione Correttiva,Media,2022-12-19,Ansaloni,5.7,Completato,2108.94,1.6,2274,7,4,Completato
INT-0046,Tecnoinox Srl,Reggio Emilia,Quadro Automazione Allen Bradley,Quadro Elettrico,Manutenzione Correttiva,Bassa,2022-07-16,Monti,3.4,Completato,1397.02,3.2,6148,10,1,Completato
INT-0047,Cefla Srl,Imola,Cinghia trapezoidale SKF,Trasmissione,Manutenzione Correttiva,Alta,2022-02-25,Bernardini,7.1,Completato,1976.98,3.9,6087,9,0,Completato
INT-0048,Marchesini Group,Bologna,Pompa Centrifuga Grundfos NB,Pompa,Manutenzione Preventiva,Bassa,2022-03-08,Monti,5.4,Completato,281.5,5.9,9678,5,0,Completato
INT-0049,Fluid System Srl,Modena,Chiller Trane CGAM,Refrigerazione,Manutenzione Correttiva,Media,2023-06-20,Monti,5.2,Completato,2551.13,1.5,2172,17,6,Completato
INT-0050,Marposs SpA,Bologna,Giunto elastico Flender,Trasmissione,Manutenzione Preventiva,Alta,2023-07-20,Ansaloni,1.8,Completato,87.28,7.5,14550,6,3,Completato
INT-0051,Pneumax Srl,Bergamo,Giunto elastico Flender,Trasmissione,Manutenzione Correttiva,Bassa,2023-10-03,Ansaloni,7.5,Completato,2266.62,3.8,5634,14,1,Completato
INT-0052,SCM Group,Rimini,Pompa Centrifuga Grundfos NB,Pompa,Manutenzione Preventiva,Alta,2023-08-06,Ansaloni,11.1,Completato,1274.5,10.9,22090,2,0,Completato
INT-0053,Pneumax Srl,Bergamo,Quadro Automazione Allen Bradley,Quadro Elettrico,Manutenzione Correttiva,Alta,2023-11-22,Ansaloni,10.2,Completato,1644.54,5.5,9889,13,5,Completato
INT-0054,Carpigiani SpA,Bologna,Quadro MCC Schneider,Quadro Elettrico,Ispezione Periodica,Media,2022-04-04,Monti,6.2,Completato,1190.71,5.9,10923,8,2,Completato
INT-0055,Tecnoinox Srl,Reggio Emilia,Compressore Kaeser SK25,Compressore,Manutenzione Preventiva,Media,2024-03-02,Ferretti,5.4,Completato,1479.7,3.8,8151,17,0,Completato
INT-0056,Carpigiani SpA,Bologna,Giunto elastico Flender,Trasmissione,Manutenzione Correttiva,Alta,2022-10-22,Ansaloni,5.8,Completato,1979.24,6.5,11847,15,7,Completato
INT-0057,IMA Industries,Bologna,Compressore Kaeser SK25,Compressore,Ispezione Periodica,Bassa,2022-05-01,Ferretti,8.1,Completato,498.8,6.8,11915,2,3,Completato
INT-0058,Marposs SpA,Bologna,Cinghia trapezoidale SKF,Trasmissione,Guasto Urgente,Bassa,2024-06-19,Ansaloni,2.5,Completato,269.88,11.8,17036,17,2,Completato
INT-0059,Rollon SpA,Milano,Pannello PLC Siemens S7,Quadro Elettrico,Manutenzione Correttiva,Alta,2022-12-07,Monti,7.1,Completato,1558.13,8.8,17929,18,7,Completato
INT-0060,Pneumax Srl,Bergamo,Quadro BT ABB,Quadro Elettrico,Guasto Urgente,Media,2023-01-26,Bernardini,5.2,Parziale,1885.23,7.1,10178,13,0,Parziale
INT-0061,Marchesini Group,Bologna,Pompa Centrifuga Grundfos NB,Pompa,Guasto Urgente,Media,2023-02-24,Ansaloni,10.6,Completato,2718.28,10.5,21778,14,1,Completato
INT-0062,Termomeccanica Srl,Parma,Pompa Lowara FC,Pompa,Ispezione Periodica,Media,2023-05-15,Ansaloni,10.6,Parziale,177.65,8.0,16414,17,6,Parziale
INT-0063,Termomeccanica Srl,Parma,Refrigeratore Clivet WSAN,Refrigerazione,Manutenzione Preventiva,Alta,2022-11-29,Ferretti,9.8,Completato,877.96,5.5,7141,3,7,Completato
INT-0064,Frigomec Srl,Modena,Pompa KSB Etanorm,Pompa,Manutenzione Preventiva,Bassa,2022-09-04,Ansaloni,6.5,Completato,1666.19,7.0,13947,5,2,Completato
INT-0065,Datalogic SpA,Bologna,Pompa Lowara FC,Pompa,Guasto Urgente,Alta,2023-08-25,Ansaloni,4.3,Completato,2696.72,10.8,17984,9,8,Completato
INT-0066,Aeroquip Srl,Ferrara,Pompa Lowara FC,Pompa,Guasto Urgente,Bassa,2024-04-29,Ansaloni,8.2,Completato,826.59,10.3,13458,12,5,Completato
INT-0067,Fluid System Srl,Modena,Giunto elastico Flender,Trasmissione,Manutenzione Correttiva,Media,2024-01-09,Monti,9.4,Completato,1931.93,9.4,13443,11,3,Completato
INT-0068,Marchesini Group,Bologna,Compressore Atlas Copco GA55,Compressore,Ispezione Periodica,Media,2022-07-25,Ferretti,2.5,Completato,1547.19,0.9,1408,4,1,Completato
INT-0069,Frigomec Srl,Modena,Cinghia trapezoidale SKF,Trasmissione,Manutenzione Correttiva,Alta,2024-02-12,Monti,11.6,Completato,2419.58,11.0,23586,9,5,Completato
INT-0070,Elcon Srl,Piacenza,Cinghia trapezoidale SKF,Trasmissione,Manutenzione Correttiva,Media,2024-04-22,Ansaloni,8.0,Completato,1090.41,0.7,1215,14,5,Completato
INT-0071,Datalogic SpA,Bologna,Pompa Centrifuga Grundfos NB,Pompa,Ispezione Periodica,Alta,2022-05-24,Ansaloni,1.5,Completato,181.22,11.0,15635,2,7,Completato
INT-0072,Bonfiglioli SpA,Bologna,Compressore Atlas Copco GA55,Compressore,Manutenzione Correttiva,Media,2023-11-02,Ferretti,2.1,Parziale,1411.02,5.0,7855,17,6,Parziale
INT-0073,Rollon SpA,Milano,Quadro MCC Schneider,Quadro Elettrico,Ispezione Periodica,Media,2023-10-23,Monti,4.9,Parziale,1162.94,5.6,12043,11,1,Parziale
INT-0074,SCM Group,Rimini,Compressore Ingersoll R55,Compressore,Manutenzione Correttiva,Alta,2023-08-02,Ferretti,3.3,Completato,2337.1,7.9,14197,0,0,Completato
INT-0075,Samp SpA,Bologna,Chiller Trane CGAM,Refrigerazione,Ispezione Periodica,Alta,2022-09-14,Bernardini,9.8,Completato,379.0,4.3,5794,0,4,Completato
INT-0076,Carpigiani SpA,Bologna,Gruppo Frigo Carrier 30XA,Refrigerazione,Manutenzione Preventiva,Media,2022-03-07,Bernardini,6.2,Completato,2196.21,7.3,8875,8,0,Completato
INT-0077,Cefla Srl,Imola,Riduttore Bonfiglioli VF,Trasmissione,Guasto Urgente,Bassa,2023-05-06,Ansaloni,10.3,Completato,1239.46,11.4,14174,16,4,Completato
INT-0078,IMA Industries,Bologna,Pompa Flygt Serie 3,Pompa,Manutenzione Correttiva,Media,2023-01-26,Ansaloni,11.9,Completato,1523.11,4.2,5663,4,4,Completato
INT-0079,Pneumax Srl,Bergamo,Giunto elastico Flender,Trasmissione,Guasto Urgente,Bassa,2024-04-27,Ansaloni,6.0,Completato,1211.49,10.3,19064,17,3,Completato
INT-0080,IMA Industries,Bologna,Quadro Automazione Allen Bradley,Quadro Elettrico,Manutenzione Preventiva,Alta,2024-02-02,Monti,9.1,Completato,2288.01,4.8,6492,15,1,Completato
INT-0081,Samp SpA,Bologna,Compressore Boge C15,Compressore,Ispezione Periodica,Bassa,2023-08-15,Ferretti,6.6,Completato,500.87,4.6,8580,13,0,Completato
INT-0082,Bonfiglioli SpA,Bologna,Gruppo Frigo Carrier 30XA,Refrigerazione,Manutenzione Correttiva,Bassa,2023-09-21,Bernardini,8.4,Completato,1594.33,1.8,2661,7,6,Completato
INT-0083,Aeroquip Srl,Ferrara,Compressore Kaeser SK25,Compressore,Manutenzione Correttiva,Media,2023-10-11,Ferretti,11.7,Completato,329.58,11.1,17216,5,2,Completato
INT-0084,Cefla Srl,Imola,Gruppo Frigo Daikin EWAD,Refrigerazione,Ispezione Periodica,Media,2022-02-20,Bernardini,8.4,Completato,820.12,2.3,3476,10,1,Completato
INT-0085,Rollon SpA,Milano,Pompa Flygt Serie 3,Pompa,Manutenzione Preventiva,Media,2023-11-15,Ansaloni,4.4,Completato,679.81,9.2,12087,13,1,Completato
INT-0086,Fluid System Srl,Modena,Compressore Kaeser SK25,Compressore,Guasto Urgente,Alta,2022-05-13,Ferretti,5.2,Completato,1993.99,9.3,18266,9,5,Completato
INT-0087,Cefla Srl,Imola,Cinghia trapezoidale SKF,Trasmissione,Manutenzione Correttiva,Media,2023-03-04,Ansaloni,4.2,Completato,1181.69,5.5,9128,2,5,Completato
INT-0088,Tecnoinox Srl,Reggio Emilia,Gruppo Frigo Daikin EWAD,Refrigerazione,Manutenzione Correttiva,Media,2022-11-14,Monti,9.2,Completato,682.68,1.5,3066,7,6,Completato
INT-0089,Coesia SpA,Bologna,Compressore Atlas Copco GA55,Compressore,Manutenzione Preventiva,Alta,2022-06-06,Ferretti,9.4,Completato,1862.98,10.9,16888,4,3,Completato
INT-0090,Coesia SpA,Bologna,Pompa Flygt Serie 3,Pompa,Guasto Urgente,Alta,2022-11-07,Ansaloni,9.8,Completato,1688.66,8.3,17280,10,5,Completato
INT-0091,Frigomec Srl,Modena,Riduttore Bonfiglioli VF,Trasmissione,Manutenzione Correttiva,Bassa,2023-09-01,Ansaloni,6.6,Completato,1338.58,0.9,1411,9,1,Completato
INT-0092,Samp SpA,Bologna,Compressore Ingersoll R55,Compressore,Manutenzione Preventiva,Bassa,2024-01-02,Bernardini,1.9,Completato,1837.47,4.2,7037,4,0,Completato
INT-0093,Fluid System Srl,Modena,Gruppo Frigo Daikin EWAD,Refrigerazione,Manutenzione Correttiva,Media,2023-10-09,Bernardini,8.1,Completato,259.28,4.7,9954,12,6,Completato
INT-0094,IMA Industries,Bologna,Giunto elastico Flender,Trasmissione,Guasto Urgente,Media,2022-05-13,Ansaloni,7.5,Completato,2631.37,4.3,7665,4,5,Completato
INT-0095,Marposs SpA,Bologna,Giunto elastico Flender,Trasmissione,Manutenzione Correttiva,Media,2023-01-07,Ansaloni,4.4,Completato,2667.18,9.9,18514,16,1,Completato
INT-0096,Tecnoinox Srl,Reggio Emilia,Pompa KSB Etanorm,Pompa,Manutenzione Correttiva,Bassa,2022-02-08,Ansaloni,8.3,Parziale,2463.79,2.3,3440,3,8,Parziale
INT-0097,Marchesini Group,Bologna,Giunto elastico Flender,Trasmissione,Manutenzione Preventiva,Alta,2023-03-31,Ansaloni,7.7,Completato,2126.5,10.1,19908,5,7,Completato
INT-0098,Pneumax Srl,Bergamo,Chiller Trane CGAM,Refrigerazione,Guasto Urgente,Alta,2023-06-25,Bernardini,5.6,Completato,520.8,10.9,15194,18,7,Completato
INT-0099,SCM Group,Rimini,Variatore SEW Eurodrive,Trasmissione,Manutenzione Correttiva,Media,2022-03-27,Ferretti,9.4,Completato,821.99,7.9,16385,17,1,Completato
INT-0100,Cefla Srl,Imola,Gruppo Frigo Daikin EWAD,Refrigerazione,Manutenzione Preventiva,Alta,2022-03-25,Bernardini,5.1,Completato,156.67,9.9,20637,0,6,Completato
INT-0101,IMA Industries,Bologna,Quadro BT ABB,Quadro Elettrico,Guasto Urgente,Alta,2022-09-20,Monti,3.4,Completato,486.69,11.1,18564,4,7,Completato
INT-0102,Cefla Srl,Imola,Pompa Centrifuga Grundfos NB,Pompa,Manutenzione Preventiva,Bassa,2023-07-03,Ansaloni,1.2,Completato,1481.82,4.0,4990,13,7,Completato
INT-0103,Datalogic SpA,Bologna,Refrigeratore Clivet WSAN,Refrigerazione,Ispezione Periodica,Alta,2023-06-04,Bernardini,9.7,Completato,1460.73,3.3,5334,2,8,Completato
INT-0104,Carpigiani SpA,Bologna,Pompa Flygt Serie 3,Pompa,Manutenzione Correttiva,Alta,2023-10-06,Ansaloni,2.1,Completato,1662.78,11.8,17153,0,5,Completato
INT-0105,Tecnoinox Srl,Reggio Emilia,Gruppo Frigo Carrier 30XA,Refrigerazione,Manutenzione Correttiva,Media,2024-03-05,Bernardini,11.4,Completato,180.6,9.9,13613,14,7,Completato
INT-0106,SCM Group,Rimini,Compressore Kaeser SK25,Compressore,Guasto Urgente,Media,2023-01-01,Monti,10.5,Completato,210.03,11.2,19212,17,7,Completato
INT-0107,Tecnoinox Srl,Reggio Emilia,Quadro MCC Schneider,Quadro Elettrico,Ispezione Periodica,Alta,2024-03-27,Monti,6.7,Completato,2259.12,10.7,20793,12,5,Completato
INT-0108,Rollon SpA,Milano,Compressore Ingersoll R55,Compressore,Manutenzione Correttiva,Alta,2023-03-13,Ferretti,2.8,Completato,1287.43,6.8,10344,2,5,Completato
INT-0109,Pneumax Srl,Bergamo,Compressore Boge C15,Compressore,Manutenzione Correttiva,Media,2024-02-07,Ferretti,8.5,Completato,2671.59,3.7,8066,1,1,Completato
INT-0110,Marchesini Group,Bologna,Giunto elastico Flender,Trasmissione,Ispezione Periodica,Alta,2023-04-06,Ansaloni,11.4,Completato,1091.88,3.2,5904,11,6,Completato
INT-0111,Termomeccanica Srl,Parma,Variatore SEW Eurodrive,Trasmissione,Manutenzione Correttiva,Media,2023-07-30,Ansaloni,2.3,Completato,2187.9,4.1,6062,3,0,Completato
INT-0112,Pneumax Srl,Bergamo,Refrigeratore Clivet WSAN,Refrigerazione,Manutenzione Preventiva,Media,2024-04-09,Bernardini,8.5,Recidiva,2379.82,2.8,3740,2,7,Recidiva
INT-0113,Tecnoinox Srl,Reggio Emilia,Quadro MCC Schneider,Quadro Elettrico,Guasto Urgente,Alta,2022-05-23,Monti,3.6,Completato,1423.74,10.8,22154,5,5,Completato
INT-0114,Frigomec Srl,Modena,Cinghia trapezoidale SKF,Trasmissione,Ispezione Periodica,Media,2024-02-27,Ansaloni,5.5,Completato,1643.73,7.5,9646,9,6,Completato
INT-0115,Marchesini Group,Bologna,Quadro MCC Schneider,Quadro Elettrico,Manutenzione Correttiva,Alta,2024-06-08,Monti,1.6,Completato,417.72,2.0,4058,17,2,Completato
INT-0116,Marchesini Group,Bologna,Quadro BT ABB,Quadro Elettrico,Manutenzione Preventiva,Bassa,2022-05-09,Monti,7.9,Completato,1751.24,4.5,9634,9,1,Completato
INT-0117,Termomeccanica Srl,Parma,Variatore SEW Eurodrive,Trasmissione,Ispezione Periodica,Alta,2023-10-19,Ansaloni,9.5,Completato,799.86,2.5,4561,10,0,Completato
INT-0118,SCM Group,Rimini,Giunto elastico Flender,Trasmissione,Guasto Urgente,Bassa,2022-11-01,Ansaloni,6.0,Completato,1953.03,6.2,11328,9,4,Completato
INT-0119,Coesia SpA,Bologna,Pompa Flygt Serie 3,Pompa,Ispezione Periodica,Alta,2023-07-30,Ansaloni,2.2,Completato,737.53,4.4,5912,10,5,Completato
INT-0120,IMA Industries,Bologna,Quadro Automazione Allen Bradley,Quadro Elettrico,Ispezione Periodica,Bassa,2023-08-15,Monti,8.9,Completato,596.35,1.1,2359,13,3,Completato
INT-0121,Coesia SpA,Bologna,Pompa Flygt Serie 3,Pompa,Guasto Urgente,Alta,2022-02-19,Ansaloni,1.6,Completato,1426.11,6.2,7998,12,8,Completato
INT-0122,Bonfiglioli SpA,Bologna,Quadro MCC Schneider,Quadro Elettrico,Guasto Urgente,Media,2022-07-19,Ansaloni,5.0,Completato,865.0,2.0,2928,11,6,Completato
INT-0123,Elcon Srl,Piacenza,Giunto elastico Flender,Trasmissione,Ispezione Periodica,Media,2022-12-14,Ansaloni,7.1,Completato,1074.45,10.0,18232,3,2,Completato
INT-0124,Marchesini Group,Bologna,Gruppo Frigo Daikin EWAD,Refrigerazione,Guasto Urgente,Media,2022-12-02,Bernardini,11.2,Completato,946.4,0.9,1722,15,8,Completato
INT-0125,Elcon Srl,Piacenza,Cinghia trapezoidale SKF,Trasmissione,Guasto Urgente,Alta,2022-11-12,Ansaloni,9.8,Completato,2052.88,8.7,13048,0,5,Completato
INT-0126,Carpigiani SpA,Bologna,Giunto elastico Flender,Trasmissione,Manutenzione Correttiva,Media,2022-06-01,Ansaloni,10.0,Parziale,738.77,8.8,15695,5,8,Parziale
INT-0127,IMA Industries,Bologna,Gruppo Frigo Carrier 30XA,Refrigerazione,Manutenzione Correttiva,Bassa,2024-01-24,Bernardini,9.0,Parziale,1999.71,2.2,4159,13,8,Parziale
INT-0128,Cefla Srl,Imola,Refrigeratore Clivet WSAN,Refrigerazione,Ispezione Periodica,Alta,2024-03-01,Ansaloni,10.5,Completato,1931.63,6.5,9839,5,7,Completato
INT-0129,Aeroquip Srl,Ferrara,Giunto elastico Flender,Trasmissione,Manutenzione Correttiva,Media,2023-05-07,Ansaloni,4.8,Completato,2619.67,3.7,5544,9,4,Completato
INT-0130,Aeroquip Srl,Ferrara,Quadro MCC Schneider,Quadro Elettrico,Manutenzione Preventiva,Alta,2022-12-21,Monti,11.2,Completato,1864.24,10.8,17220,11,2,Completato
INT-0131,Bonfiglioli SpA,Bologna,Chiller Trane CGAM,Refrigerazione,Manutenzione Correttiva,Media,2023-11-17,Monti,11.0,Completato,693.83,11.2,21237,4,1,Completato
INT-0132,Datalogic SpA,Bologna,Compressore Atlas Copco GA55,Compressore,Ispezione Periodica,Alta,2024-06-18,Ferretti,6.2,Completato,1849.47,1.7,3350,0,8,Completato
INT-0133,Marposs SpA,Bologna,Pannello PLC Siemens S7,Quadro Elettrico,Guasto Urgente,Bassa,2022-02-07,Monti,12.0,Parziale,1159.83,8.0,11457,1,2,Parziale
INT-0134,Bonfiglioli SpA,Bologna,Refrigeratore Clivet WSAN,Refrigerazione,Guasto Urgente,Media,2022-05-18,Ferretti,10.4,Completato,1353.02,3.9,7030,10,4,Completato
INT-0135,SCM Group,Rimini,Compressore Boge C15,Compressore,Manutenzione Correttiva,Media,2022-06-29,Ferretti,7.7,Completato,1817.33,8.0,15348,0,5,Completato
INT-0136,Elcon Srl,Piacenza,Pompa Lowara FC,Pompa,Manutenzione Preventiva,Media,2022-10-01,Ansaloni,11.5,Completato,901.29,2.6,3485,10,3,Completato
INT-0137,Carpigiani SpA,Bologna,Pannello PLC Siemens S7,Quadro Elettrico,Manutenzione Correttiva,Bassa,2024-02-28,Monti,4.4,Parziale,399.37,8.2,13656,5,6,Parziale
INT-0138,Marposs SpA,Bologna,Quadro BT ABB,Quadro Elettrico,Manutenzione Correttiva,Bassa,2024-04-01,Monti,8.3,Completato,674.08,6.0,9929,11,6,Completato
INT-0139,Datalogic SpA,Bologna,Riduttore Bonfiglioli VF,Trasmissione,Ispezione Periodica,Alta,2022-06-18,Ansaloni,4.6,Completato,1495.33,1.4,2469,1,8,Completato
INT-0140,IMA Industries,Bologna,Gruppo Frigo Daikin EWAD,Refrigerazione,Guasto Urgente,Alta,2024-04-06,Bernardini,4.4,Completato,139.22,9.8,16203,16,6,Completato
INT-0141,Aeroquip Srl,Ferrara,Compressore Kaeser SK25,Compressore,Ispezione Periodica,Alta,2022-02-02,Ferretti,4.2,Parziale,569.55,5.4,10262,17,0,Parziale
INT-0142,Marchesini Group,Bologna,Pompa Lowara FC,Pompa,Manutenzione Preventiva,Bassa,2022-05-17,Ansaloni,8.2,Parziale,1025.93,5.7,12067,12,6,Parziale
